그로브 직무 데이터셋,,,
,,,
,,,
,,,
job_id,job_name,category,job_description
Des20,VR/AR 디자이너,Designer,가상현실(VR)과 증강현실(AR) 환경에 맞는 콘텐츠를 디자인합니다.
Mar01,콘텐츠 마케터,Marketer,고객에게 가치 있는 콘텐츠를 제공하여 브랜드 인지도를 높이고 잠재 고객을 확보합니다.
Mar02,퍼포먼스 마케터,Marketer,데이터를 기반으로 광고 성과를 측정하고 최적화하여 마케팅 목표를 달성합니다.
Mar03,SEO 마케터,Marketer,검색 엔진 최적화를 통해 웹사이트의 검색 결과 상위 노출을 유도합니다.
Mar04,CRM 마케터,Marketer,고객 관계 관리를 통해 기존 고객의 충성도를 높이고 재구매를 유도합니다.
Mar05,소셜 미디어 마케터,Marketer,"페이스북, 인스타그램 등 소셜 미디어를 활용하여 브랜드와 제품을 홍보합니다."
Mar06,브랜드 마케터,Marketer,브랜드의 가치를 높이고 긍정적인 이미지를 구축하기 위한 전략을 수립하고 실행합니다.
Mar07,그로스 마케터,Marketer,"데이터 분석을 통해 고객 유입, 전환, 유지 등 전반적인 성장을 이끌어냅니다."
Mar08,ASO 마케터,Marketer,앱 스토어 최적화를 통해 앱 다운로드 수를 늘리는 역할을 합니다.
Mar09,인플루언서 마케터,Marketer,영향력 있는 인플루언서를 활용하여 제품이나 서비스를 홍보합니다.
Mar10,이메일 마케터,Marketer,이메일을 통해 고객에게 맞춤형 정보와 혜택을 제공하여 관계를 유지합니다.
Mar11,B2B 마케터,Marketer,기업 고객을 대상으로 제품이나 서비스를 판매하기 위한 마케팅 활동을 합니다.
Mar12,B2C 마케터,Marketer,일반 소비자를 대상으로 제품이나 서비스를 판매하기 위한 마케팅 활동을 합니다.
Mar13,디지털 마케터,Marketer,온라인 채널을 활용하여 마케팅 전략을 수립하고 실행합니다.
Mar14,제휴 마케터,Marketer,다른 기업과의 협력을 통해 상호 이익을 창출하는 마케팅 활동을 합니다.
Mar15,AE,Marketer,광고주와의 커뮤니케이션을 통해 광고 캠페인을 기획하고 실행하는 역할을 합니다.
Mar16,미디어 커머스 마케터,Marketer,미디어 콘텐츠를 활용하여 제품을 판매하는 새로운 형태의 마케팅을 합니다.
Mar17,마켓 리서처,Marketer,시장 조사를 통해 소비자의 니즈와 트렌드를 파악하여 마케팅 전략에 반영합니다.
Mar18,바이럴 마케터,Marketer,소비자들이 자발적으로 콘텐츠를 공유하고 확산시키도록 유도하는 마케팅을 합니다.
Mar19,PR 전문가,Marketer,"언론, 대중과의 긍정적인 관계를 형성하여 기업 이미지를 제고합니다."
Mar20,이벤트 마케터,Marketer,오프라인 이벤트를 기획하고 실행하여 브랜드 인지도를 높이고 고객 참여를 유도합니다.
Pla01,서비스 기획자,Planner,새로운 서비스를 만들거나 기존 서비스를 개선하기 위한 아이디어를 내고 구체화합니다.
Pla02,PO,Planner,제품의 책임자로서 제품의 비전과 목표를 설정하고 개발 과정을 총괄합니다.
Pla03,PM,Planner,"제품의 성공적인 출시와 운영을 위해 개발, 디자인, 마케팅 등 다양한 팀과 협업합니다."
Pla04,사업 기획자,Planner,새로운 사업 기회를 발굴하고 사업 계획을 수립하여 회사의 성장을 이끌어냅니다.
Pla05,전략 기획자,Planner,회사의 장기적인 비전과 목표를 설정하고 이를 달성하기 위한 전략을 수립합니다.
Pla06,플랫폼 기획자,Planner,다양한 서비스와 콘텐츠를 제공하는 플랫폼을 기획하고 운영합니다.
Pla07,UX 기획자,Planner,사용자의 경험을 중심으로 서비스를 설계하고 개선하는 역할을 합니다.
Pla08,콘텐츠 기획자,Planner,사용자의 흥미를 유발하고 정보를 제공하는 콘텐츠를 기획하고 제작합니다.
Pla09,신사업 기획자,Planner,새로운 시장을 개척하고 신규 사업을 발굴하여 회사의 미래 성장 동력을 만듭니다.
Pla10,모바일 서비스 기획자,Planner,"스마트폰, 태블릿 등 모바일 환경에 최적화된 서비스를 기획합니다."
Pla11,웹 기획자,Planner,PC 환경에 맞는 웹사이트를 기획하고 구축하는 역할을 합니다.
Pla12,IT 컨설턴트,Planner,기업의 비즈니스 문제를 해결하기 위해 IT 기술을 활용한 해결책을 제시합니다.
Pla13,데이터 분석 기반 기획자,Planner,데이터를 분석하여 인사이트를 도출하고 이를 기반으로 서비스를 기획합니다.
Pla14,AI 서비스 기획자,Planner,인공지능 기술을 활용하여 새로운 서비스를 기획하고 개발합니다.
Pla15,게임 기획자,Planner,"게임의 세계관, 스토리, 시스템 등을 설계하여 재미있는 게임을 만듭니다."
Pla16,시스템 기획자,Planner,복잡한 시스템의 구조를 설계하고 개발 과정을 관리하는 역할을 합니다.
Pla17,이커머스 기획자,Planner,"온라인 쇼핑몰의 상품 구성, 프로모션, 결제 시스템 등을 기획합니다."
Pla18,백오피스(어드민) 기획자,Planner,관리자가 사용하는 시스템을 설계하여 업무 효율성을 높이는 역할을 합니다.
Pla19,마케팅 기획자,Planner,마케팅 목표를 달성하기 위한 전략을 수립하고 구체적인 실행 계획을 세웁니다.
Pla20,운영 기획자,Planner,서비스가 안정적으로 운영될 수 있도록 관리하고 개선하는 역할을 합니다.
